CustomerID,Age,Gender,Location,CurrentIncome,Savings,EarningPotential,HistoricalSpending,CreditScore,SpendingLimit,EducationalStatus
1,28,Male,"New York",50000.00,10000.00,75000.00,1200.00,720,1500.00,Bachelor
2,35,Female,"Los Angeles",60000.00,15000.00,80000.00,1400.00,680,1800.00,Master
3,22,Male,Chicago,45000.00,8000.00,70000.00,1000.00,700,1200.00,"High School"
4,30,Female,Miami,55000.00,12000.00,78000.00,1100.00,710,1600.00,Bachelor
5,32,Male,"San Francisco",65000.00,18000.00,82000.00,1300.00,700,1900.00,Master
6,25,Female,Seattle,48000.00,9000.00,72000.00,950.00,730,1400.00,"High School"
7,38,Male,Boston,70000.00,20000.00,85000.00,1600.00,740,2200.00,PhD
8,29,Female,Austin,51000.00,11000.00,76000.00,1250.00,710,1700.00,Master
9,27,Male,Denver,52000.00,10500.00,74000.00,1100.00,700,1600.00,Bachelor
10,31,Female,Atlanta,57000.00,13000.00,79000.00,1350.00,690,1900.00,Bachelor
11,33,Male,Philadelphia,62000.00,17000.00,83000.00,1500.00,710,2100.00,Master
12,26,Female,Houston,49000.00,9500.00,73000.00,1000.00,720,1300.00,"High School"
13,41,Male,Dallas,72000.00,21000.00,86000.00,1700.00,730,2300.00,PhD
14,34,Female,"San Diego",60000.00,14000.00,80000.00,1450.00,680,1800.00,Bachelor
15,24,Male,Detroit,46000.00,8500.00,71000.00,900.00,710,1200.00,"High School"
16,36,Female,Phoenix,61000.00,16000.00,82000.00,1550.00,700,2000.00,Master
17,23,Male,Portland,47000.00,9000.00,72000.00,950.00,730,1300.00,Bachelor
18,39,Female,Minneapolis,71000.00,19000.00,85000.00,1650.00,740,2200.00,PhD
19,28,Male,"Las Vegas",52000.00,10500.00,74000.00,1100.00,700,1600.00,Bachelor
20,30,Female,Charlotte,56000.00,12500.00,78000.00,1200.00,710,1800.00,Bachelor
21,37,Male,"San Antonio",69000.00,20000.00,84000.00,1600.00,730,2100.00,Master
22,25,Female,"Salt Lake City",48000.00,9500.00,72000.00,950.00,720,1300.00,"High School"
23,42,Male,Tampa,73000.00,22000.00,87000.00,1750.00,730,2400.00,PhD
24,27,Female,"Kansas City",51000.00,11000.00,76000.00,1250.00,710,1700.00,Master
25,29,Male,Raleigh,53000.00,11500.00,75000.00,1300.00,700,1700.00,Bachelor
26,35,Female,Indianapolis,59000.00,13500.00,80000.00,1400.00,690,2000.00,Bachelor
27,30,Male,Columbus,55000.00,12000.00,78000.00,1200.00,710,1600.00,Master
28,38,Female,Nashville,67000.00,19000.00,84000.00,1550.00,740,2200.00,PhD
29,31,Male,Albuquerque,58000.00,13000.00,79000.00,1350.00,690,1900.00,Bachelor
30,26,Female,Louisville,49000.00,9500.00,73000.00,1050.00,720,1400.00,"High School"
31,40,Male,"Oklahoma City",71000.00,21000.00,86000.00,1700.00,730,2300.00,Master
32,34,Female,Omaha,59000.00,14000.00,80000.00,1400.00,680,1800.00,Bachelor
33,24,Male,Honolulu,47000.00,9000.00,72000.00,950.00,720,1300.00,"High School"
34,36,Female,Anchorage,63000.00,16000.00,83000.00,1600.00,710,2100.00,PhD
35,23,Male,Boise,46000.00,8500.00,71000.00,900.00,710,1200.00,Bachelor
36,41,Female,"Little Rock",70000.00,20000.00,85000.00,1750.00,730,2300.00,PhD
37,35,Male,"Des Moines",59000.00,14000.00,80000.00,1500.00,680,1900.00,Master
38,29,Female,Jackson,52000.00,10500.00,74000.00,1150.00,710,1700.00,Bachelor
39,27,Male,Birmingham,50000.00,10000.00,75000.00,1200.00,710,1500.00,Master
40,42,Female,"Salt Lake City",72000.00,21000.00,86000.00,1700.00,740,2200.00,PhD
41,36,Male,Raleigh,63000.00,16000.00,83000.00,1600.00,730,2100.00,Bachelor
42,28,Female,Columbus,51000.00,11000.00,76000.00,1250.00,710,1700.00,Bachelor
43,32,Male,Nashville,55000.00,12000.00,78000.00,1200.00,720,1600.00,Master
44,24,Female,Albuquerque,47000.00,9000.00,72000.00,900.00,730,1300.00,"High School"
45,39,Male,Louisville,67000.00,19000.00,84000.00,1550.00,740,2200.00,PhD
46,33,Female,"Oklahoma City",59000.00,14000.00,80000.00,1400.00,680,1800.00,Bachelor
47,31,Male,Omaha,58000.00,13000.00,79000.00,1350.00,690,1900.00,Bachelor
48,25,Female,Honolulu,48000.00,9500.00,73000.00,1100.00,720,1400.00,Master
49,44,Male,Anchorage,75000.00,22000.00,87000.00,1750.00,730,2400.00,PhD
50,37,Female,Boise,64000.00,17000.00,85000.00,1650.00,710,2100.00,Bachelor
51,26,Male,"Des Moines",51000.00,10500.00,74000.00,1150.00,710,1700.00,Bachelor
52,30,Female,Jackson,53000.00,11500.00,75000.00,1300.00,700,1700.00,Bachelor
53,35,Male,Birmingham,59000.00,14000.00,80000.00,1400.00,680,1800.00,Master
54,33,Female,Louisville,58000.00,13000.00,79000.00,1350.00,690,1900.00,Bachelor
55,29,Male,Raleigh,52000.00,11000.00,76000.00,1250.00,710,1700.00,Master
56,27,Female,Columbus,50000.00,10000.00,75000.00,1200.00,710,1500.00,Master
57,42,Male,"Salt Lake City",72000.00,21000.00,86000.00,1700.00,740,2200.00,PhD
58,36,Female,Raleigh,63000.00,16000.00,83000.00,1600.00,730,2100.00,Bachelor
59,28,Male,Columbus,51000.00,11000.00,76000.00,1250.00,710,1700.00,Bachelor
60,32,Female,Nashville,55000.00,12000.00,78000.00,1200.00,720,1600.00,Master
61,24,Male,Albuquerque,47000.00,9000.00,72000.00,900.00,730,1300.00,"High School"
62,39,Female,Louisville,67000.00,19000.00,84000.00,1550.00,740,2200.00,PhD
63,33,Male,"Oklahoma City",59000.00,14000.00,80000.00,1400.00,680,1800.00,Bachelor
64,31,Female,Omaha,58000.00,13000.00,79000.00,1350.00,690,1900.00,Bachelor
65,25,Male,Honolulu,48000.00,9500.00,73000.00,1100.00,720,1400.00,Master
